BioProject	Run	Common Name
PRJNA783885	SRR17046100	1026
PRJNA783885	SRR17046101	1025
PRJNA783885	SRR17046102	1024
PRJNA783885	SRR17046103	1023
PRJNA783885	SRR17046104	1022
PRJNA783885	SRR17046105	1021
PRJNA783885	SRR17046106	839
PRJNA783885	SRR17046107	1019
PRJNA783885	SRR17046108	1018
PRJNA783885	SRR17046109	1017
PRJNA783885	SRR17046110	1016
PRJNA783885	SRR17046111	1015
PRJNA783885	SRR17046112	1153
PRJNA783885	SRR17046113	1152
PRJNA783885	SRR17046114	1151
PRJNA783885	SRR17046115	1150
PRJNA783885	SRR17046116	1149
PRJNA783885	SRR17046117	1148
PRJNA783885	SRR17046118	1147
PRJNA783885	SRR17046119	1
PRJNA783885	SRR17046120	1145
PRJNA783885	SRR17046121	1144
PRJNA783885	SRR17046122	1143
PRJNA783885	SRR17046123	1142
PRJNA783885	SRR17046124	1141
PRJNA783885	SRR17046125	1140
PRJNA783885	SRR17046126	1139
PRJNA783885	SRR17046127	1138
PRJNA783885	SRR17046128	1136
PRJNA783885	SRR17046129	1135
PRJNA783885	SRR17046130	850
PRJNA783885	SRR17046131	832
PRJNA783885	SRR17046132	1134
PRJNA783885	SRR17046133	1133
PRJNA783885	SRR17046134	1132
PRJNA783885	SRR17046135	1131
PRJNA783885	SRR17046136	1130
PRJNA783885	SRR17046137	1129
PRJNA783885	SRR17046138	1128
PRJNA783885	SRR17046139	1127
PRJNA783885	SRR17046140	1126
PRJNA783885	SRR17046141	1125
PRJNA783885	SRR17046142	849
PRJNA783885	SRR17046143	1124
PRJNA783885	SRR17046144	843
PRJNA783885	SRR17046145	1061
PRJNA783885	SRR17046146	1059
PRJNA783885	SRR17046147	1058
PRJNA783885	SRR17046148	1057
PRJNA783885	SRR17046149	1056
PRJNA783885	SRR17046150	1055
PRJNA783885	SRR17046151	1054
PRJNA783885	SRR17046152	1053
PRJNA783885	SRR17046153	1052
PRJNA783885	SRR17046154	1051
PRJNA783885	SRR17046155	842
PRJNA783885	SRR17046156	1050
PRJNA783885	SRR17046157	1049
PRJNA783885	SRR17046158	1048
PRJNA783885	SRR17046159	1047
PRJNA783885	SRR17046160	1046
PRJNA783885	SRR17046161	1045
PRJNA783885	SRR17046162	1044
PRJNA783885	SRR17046163	1043
PRJNA783885	SRR17046164	1042
PRJNA783885	SRR17046165	1041
PRJNA783885	SRR17046166	841
PRJNA783885	SRR17046167	1040
PRJNA783885	SRR17046168	1039
PRJNA783885	SRR17046169	1038
PRJNA783885	SRR17046170	1037
PRJNA783885	SRR17046171	1036
PRJNA783885	SRR17046172	1035
PRJNA783885	SRR17046173	1034
PRJNA783885	SRR17046174	1033
PRJNA783885	SRR17046175	1032
PRJNA783885	SRR17046176	1031
PRJNA783885	SRR17046177	840
PRJNA783885	SRR17046178	831
PRJNA783885	SRR17046179	830
PRJNA816255	SRR18441530	PI 306617
PRJNA816255	SRR18441531	PI 306615
PRJNA816255	SRR18441532	Ames 21879
PRJNA816255	SRR18441533	Ames 21878
PRJNA816255	SRR18441534	Ames 21877
PRJNA816255	SRR18441535	Ames 21867
PRJNA816255	SRR18441536	RIMH001
PRJNA816255	SRR18441537	RRA-14
PRJNA816255	SRR18441538	RID0009
PRJNA816255	SRR18441539	Ames 21865
PRJNA816255	SRR18441540	RID0008
PRJNA816255	SRR18441541	RID0007
PRJNA816255	SRR18441542	RID0006
PRJNA816255	SRR18441543	RID0005
PRJNA816255	SRR18441544	PI 462368
PRJNA816255	SRR18441545	PI 441932
PRJNA816255	SRR18441546	PI 441931
PRJNA816255	SRR18441547	PI 441929
PRJNA816255	SRR18441548	Ames 2317
PRJNA816255	SRR18441549	Ames 21884
PRJNA816255	SRR18441550	Ames 21864
PRJNA816255	SRR18441551	Ames 21882
PRJNA816255	SRR18441552	Ames 21875
PRJNA816255	SRR18441553	Ames 21874
PRJNA816255	SRR18441554	Ames 21873
PRJNA816255	SRR18441555	Ames 21872
PRJNA816255	SRR18441556	Ames 21871
PRJNA816255	SRR18441557	Ames 21870
PRJNA816255	SRR18441558	RIN1
PRJNA816255	SRR18441559	RIL2
PRJNA816255	SRR18441560	RIL003
