index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
316	FHK71mAP	FHK71	NA2	Fusarium graminearum		3	USA
317	FHK72mAP	FHK72	NA2	Fusarium graminearum		3	USA
318	FHK73mAP	FHK73	NA2	Fusarium graminearum		3	USA
319	FHK74mAP	FHK74	NA2	Fusarium graminearum		15	USA
320	FHK75mAP	FHK75	NA2	Fusarium graminearum		3	USA
321	FHK76mAP	FHK76	NA2	Fusarium graminearum		15	USA
322	FHK77mAP	FHK77	NA2	Fusarium graminearum		3	USA
323	FHK78mAP	FHK78	NA1	Fusarium graminearum		15	USA
324	FHK79mAP	FHK79	NA1	Fusarium graminearum		15	USA
325	FHK7mAP	FHK7	NA1	Fusarium graminearum	Triticum aestivum	15	USA
326	FHK80mAP	FHK80	NA2	Fusarium graminearum		3	USA
327	FHK81mAP	FHK81	NA1	Fusarium graminearum		15	USA
328	FHK82mAP	FHK82	NA1	Fusarium graminearum		15	USA
329	FHK83mAP	FHK83	NA1	Fusarium graminearum		15	USA
330	FHK84mAP	FHK84	NA1	Fusarium graminearum		15	USA
331	FHK85mAP	FHK85	NA1	Fusarium graminearum		15	USA
